relative_path,format,original_width,original_height,crop_top,crop_bottom,crop_left,crop_right,status,shadow_trim_pixels
commands/ai/images/extractentitycommand-01.png,PNG,829,796,3,2,2,2,cropped_shadow_trim,6
commands/ai/images/extractentitycommand-02.png,PNG,830,689,2,2,3,2,cropped_shadow_trim,6
commands/ai/images/extractentitycommand-03.png,PNG,1218,974,0,0,0,0,unchanged,
commands/ai/images/extractkeywordscommand-01.png,PNG,654,588,0,0,0,0,unchanged,
commands/ai/images/generatecommentcommand-01.png,PNG,829,619,3,3,2,2,cropped_shadow_trim,6
commands/ai/images/generatecommentcommand-02.png,PNG,830,619,3,3,2,3,cropped_shadow_trim,6
commands/ai/images/generatecommentcommand-03.png,PNG,1218,974,0,0,0,0,unchanged,
commands/ai/images/getemotionaltendencycommand-01.png,PNG,830,618,3,2,3,2,cropped_shadow_trim,6
commands/ai/images/getemotionaltendencycommand-02.png,PNG,1223,972,0,0,0,0,unchanged,
commands/ai/images/getemotionaltendencycommand-03.png,PNG,831,618,2,3,3,3,cropped_shadow_trim,6
commands/ai/images/interactivechatcommand-01.png,PNG,1905,969,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-02.png,PNG,660,595,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-03.png,PNG,660,595,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-04.png,PNG,1016,149,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-05.png,PNG,660,539,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-06.png,PNG,997,189,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-07.png,PNG,1021,150,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-08.png,PNG,660,595,0,0,0,0,unchanged,
commands/ai/images/interactivechatcommand-09.png,PNG,989,238,0,0,0,0,unchanged,
commands/ai/images/makeasummarycommand-01.png,PNG,829,892,2,2,2,2,cropped_shadow_trim,6
commands/ai/images/makeasummarycommand-02.png,PNG,832,620,4,3,4,3,cropped_shadow_trim,6
commands/ai/images/makeasummarycommand-03.png,PNG,1218,976,0,0,0,0,unchanged,
commands/ai/images/parsingunstructureddatacommand-01.png,PNG,1391,192,0,0,0,0,unchanged,
commands/ai/images/parsingunstructureddatacommand-02.png,PNG,661,496,9,9,9,9,manual_deep_crop,
commands/ai/images/parsingunstructureddatacommand-03.png,PNG,1506,618,0,0,0,0,unchanged,
commands/ai/images/parsingunstructureddatacommand-04.png,PNG,998,744,6,0,6,2,cropped_shadow_trim,6
commands/ai/images/parsingunstructureddatacommand-05.png,PNG,1449,252,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-01.png,PNG,660,677,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-02.png,PNG,417,236,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-03.png,PNG,150,50,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-04.png,PNG,120,40,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-05.png,PNG,276,178,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-06.png,PNG,298,298,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-07.png,PNG,291,258,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-08.png,PNG,828,516,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-09.png,PNG,1920,897,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-10.png,PNG,996,493,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-11.png,PNG,977,181,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-12.png,PNG,1920,897,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-13.png,PNG,660,677,0,0,0,0,unchanged,
commands/ai/images/recognizecaptchabyprovidercommand-14.png,PNG,325,241,0,0,0,0,unchanged,
commands/ai/images/recognizecardcommand-01.png,PNG,659,525,0,0,0,0,unchanged,
